case_lbl	lname	fname	mname	facdec96	electcat	v215	v219	v283	v334	v335	v337	v339	v340	v342	v369	v378	v415	v419	v421	v422	v425	v429	v443	v461	v519	v521	v581	v583	v585	v587	v593	v594	v633	v635	v636	v638	v672	v680	v700	v703	v704	v705	v776	v811	v813	v814	v839	v879	v885	v926	v927	v952	v976	v977	v978	v1019	v1021	v1022	v1023	v1024	v1034	v1040	v1081	v1096	v1103	v1152	v1153	v1154	v1155	v1156	v1157	v1164	v1238	v1239	v1243	v1272	v1280	v1303	v1304	v1310	v1311	v1313	v1384	v1386	v1387	v1388	v1389	v1390	v1391	v1392	v1394	v1473	v1474	v1475	v1482	v1485	v1486	v1487	v1488	v1494	v1553	v1557	v1558	v1559	v1561	v1567	v1570	v1620	v1638	v1649	v1685	v1766	v1770	v1788	v1790	v1809	v1810	v1816	v1820	v1839	v1843	v1860	v1898	v1899	v1910	v1947	v1949	v1956	v1963	v1985	v1993	v2007	v2011	v2015	v2030	v2053	v2054	v2055	v2064	v2078	v2091	v2176	v2177	v2179	v2180	v2181	v2182	v2183	v2189	v2190	v2191	v2192	v2200	v2217	v2225	v2226	v2228	v2233	v2236	v2308	v2309	v2310	v2314	v2315	v2351	v2352	v2447	v2449	v2450	v2452	v2454	v2455	v2459	v2461	v2481	v2498	v2544	v2545	v2546	v2548	v2550	v2562	v2564	v2568	v2574	v2583	v2623	v2627	v2682	v2730	v2731	v2732	v2733	v2735	v2774	v2780	v2782	v2783	v2784	v2789	v2791	v2833	v2837	v2839	v2885	v2910	v2911	v2934	v3019	v3023	v3028	v3055	v3075	v3123	v3128	v3129	v3132	v3147	v3148	v3203	v3204	v3205	v3206	v3207	v3208	v3209	v3211	v3226	v3229	v3233	v3237	v3246	v3271	v3272	v3273	v3274	v3275	v3276	v3278	v3315	v3316	v3317	v3318	v3319	v3320	v3321	v3341	v3351	v3356	v3364	v3369	v3371	v3373	v3380	v3405	v3406	v3407	v3408	v3411	v3414	v3424	v3434	v3462	v3481	v3482	v3484	v3526	v3527	v3528	v3591	v3592	v3602	v3615	v3630	v3631	v3699	v3727	v3771	v3836	v3837	v3838	v3861	v3863	v3866	v3868	v3876	v3879	v3883	v3940	v3968	v3972	v3973	v3974	v3976	v3977	v3978	v3979	v3982	v4069	v4070	v4071	v4072	v4080	v4146	v4147	v4148	v4215	v4216	v4217	v4218	v4227	v4273	v4274	v4277	v4334	v4335	v4336	v4337	v4339	v4408	v4434	v4442	v4444	v4445	v4447	v4449	v4477	v4521	v4522	v4523	v4527	v4567	v4615	v4616	v4618	v4619	v4620	v4707	v4712	v4747	v4748	v4759	v4760	v4786	v4848	v4849	v4851	v4852	v4853	v4855	v4857	v4912	v4914	v4915	v4916	v4922	v4925	v4971	v4972	v4975	v5032	noyea	nonay	fac1_1	fac2_1	fac3_1	fac4_1	fac5_1
"Date"	""	""	""			2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07	2.00e+07							
"Vote #"	""	""	""			"no response"	"abstain"	"no response"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"no response"	"no response"	"abstain"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"no response"	"absent"	"no response"	"no response"	"abstain"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"no response"	"no response"	"abstain"	"absent"	"no response"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"no response"	"no response"	"no response"	"abstain"	"absent"	"no response"	"no response"	"abstain"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"no response"	"absent"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"no response"	"absent"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"no response"	"absent"	8	"missing"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"no response"	"absent"	8	"missing"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"no response"	"absent"	"no response"	"abstain"	"no response"	"no response"	"no response"	"abstain"	"absent"	"no response"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"no response"	"absent"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"no response"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"no response"	"absent"	8	"missing"	"missing"	11	12	13	14	15	16	17	18	"no response"	"abstain"	"absent"	"no response"	"abstain"	"no response"	"abstain"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"no response"	"absent"	8	"no response"	"abstain"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"no response"	"absent"	8	"missing"	"missing"	"no response"	"abstain"	"no response"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"no response"	"absent"	"no response"	"abstain"	"absent"	"no response"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"absent"	"no response"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"no response"	"abstain"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"no response"	"absent"	8	"missing"	"missing"	11	12	13	"no response"	"abstain"	"absent"	"no response"	"abstain"	"no response"	"absent"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"no response"	"absent"	8	"missing"	"missing"	11	12	13	14	15	"no response"	"abstain"	"absent"	"no response"	"abstain"	"no response"	"absent"	8	"missing"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"absent"	"no response"	"no response"	"abstain"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"no response"	"absent"	8	"missing"	"missing"	"no response"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"no response"	"absent"	8	"missing"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"no response"	"absent"	8	"no response"	"abstain"	"absent"	"no response"	"abstain"	"no response"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"no response"	"no response"	"no response"	"abstain"	"absent"	"no response"	"no response"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"no response"	"abstain"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"no response"	"absent"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"no response"	"no response"	"abstain"	"absent"	"no response"							
"Issue"	""	""	""			"no response"		"absent"	"abstain"	"abstain"	"abstain"	"no response"	"abstain"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"absent"	"no response"	"absent"	"no response"	"no response"	"no response"	"no response"	"no response"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"no response"	"no response"	"no response"	"absent"	"no response"	"no response"	"no response"	"abstain"	"abstain"	"no response"	"abstain"	"abstain"	"no response"	"no response"	"no response"	"absent"	"absent"	"no response"	"no response"	"absent"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"no response"	"abstain"	"abstain"	"no response"	"no response"	"abstain"	"no response"	"abstain"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"absent"	"no response"	"abstain"	"no response"	"absent"	"absent"	"absent"	"no response"	"absent"	"abstain"	"abstain"	"absent"	"absent"	"no response"	"no response"	"absent"	"absent"	"no response"	"no response"	"abstain"	"abstain"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"abstain"	"no response"	"abstain"	"no response"	"abstain"	"abstain"	"absent"	"abstain"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"abstain"	"abstain"	"no response"	"abstain"	"absent"	"no response"	"no response"	"no response"	"abstain"	"no response"	"no response"	"no response"	"no response"	"no response"	"absent"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"abstain"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"absent"	"absent"	"no response"	"no response"	"no response"	"no response"	"absent"	"no response"	"abstain"	"no response"	"no response"	"abstain"	"absent"	"absent"	"absent"	"abstain"	"abstain"	"no response"	"no response"	"abstain"	"no response"	"no response"	"no response"	"no response"	"abstain"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"absent"	"no response"	"no response"	"abstain"	"no response"	"no response"	"no response"	"absent"	"no response"	"no response"	"no response"	"no response"	"no response"	"abstain"	"absent"	"no response"	"no response"	"absent"	"abstain"	"abstain"	"absent"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"abstain"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"abstain"	"abstain"	"no response"	"abstain"	"abstain"	"abstain"	"abstain"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"abstain"	"abstain"	"abstain"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"absent"	"no response"	"no response"	"absent"	"abstain"	"no response"	"no response"	"no response"	"abstain"	"no response"	"abstain"	"no response"	"abstain"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"abstain"	"absent"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"absent"	"absent"	"abstain"	"no response"	"no response"	"no response"	"no response"	"abstain"	"absent"	"no response"	"abstain"	"no response"	"abstain"	"abstain"	"no response"	"no response"	"no response"	"no response"	"absent"	"abstain"	"no response"	"no response"	"no response"	"abstain"	"abstain"	"abstain"	"abstain"	"no response"	"no response"	"no response"	"absent"	"no response"	"no response"	"no response"	"abstain"	"no response"	"no response"	"no response"	"absent"	"no response"	"no response"	"no response"	"absent"	"no response"	"absent"	"no response"	"no response"	"no response"	"absent"	"no response"	"no response"	"no response"	"no response"	"abstain"	"abstain"	"no response"	"abstain"	"abstain"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"abstain"							
"Thresh."	""	""	""			"abstain"	"abstain"	"abstain"	"absent"	"absent"	"absent"	"absent"	"absent"	"abstain"	"absent"	"absent"	"abstain"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"abstain"	"absent"	"absent"	"abstain"	"absent"	"absent"	"absent"	"absent"	"absent"	"abstain"	"absent"	"absent"	"absent"	"abstain"	"absent"	"absent"	"absent"	"absent"	"abstain"	"abstain"	"absent"	"absent"	"abstain"	"abstain"	"absent"	"abstain"	"absent"	"abstain"	"abstain"	"absent"	"abstain"	"absent"	"abstain"	"absent"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"absent"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"absent"	"absent"	"absent"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"absent"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"absent"	"absent"	"abstain"	"abstain"	"absent"	"abstain"	"abstain"	"absent"	"abstain"	"abstain"	"absent"	"absent"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"absent"	"absent"	"abstain"	"absent"	"absent"	"absent"	"abstain"	"abstain"	"absent"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"absent"	"absent"	"absent"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"absent"	"absent"	"absent"	"absent"	"abstain"	"absent"	"absent"	"absent"	"absent"	"abstain"	"abstain"	"absent"	"absent"	"absent"	"absent"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"absent"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"absent"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"absent"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"absent"	"absent"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"absent"	"absent"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"absent"	"absent"	"absent"	"abstain"	"absent"	"abstain"	"abstain"	"abstain"	"absent"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"absent"	"absent"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"absent"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"absent"	"abstain"	"absent"	"absent"	"absent"	"abstain"	"abstain"	"abstain"	"abstain"	"absent"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"no response"	"no response"	"abstain"	"abstain"	"absent"	"abstain"	"abstain"	"abstain"	"absent"	"absent"	"absent"	"abstain"	"abstain"	"absent"	"absent"	"absent"	"absent"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"absent"	"abstain"	"abstain"	"abstain"	"absent"	"abstain"	"abstain"	"absent"	"absent"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"absent"	"absent"	"absent"	"abstain"	"absent"	"absent"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"							
"Vote Cat"	""	""	""			"no response"	"no response"	"no response"	"absent"	"absent"	"absent"	"absent"	"absent"	"abstain"	"absent"	"absent"	"no response"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"no response"	"absent"	"absent"	"abstain"	"absent"	"absent"	"absent"	"absent"	"absent"	"no response"	"absent"	"abstain"	"abstain"	"no response"	"absent"	"absent"	"absent"	"absent"	"abstain"	"abstain"	"no response"	"no response"	"abstain"	"no response"	"no response"	"no response"	"absent"	"abstain"	"no response"	"absent"	"abstain"	"absent"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"abstain"	"no response"	"no response"	"no response"	"no response"	"no response"	"abstain"	"abstain"	"abstain"	"no response"	"no response"	"absent"	"abstain"	"no response"	"no response"	"no response"	"abstain"	"absent"	"absent"	"absent"	"no response"	"no response"	"no response"	"no response"	"no response"	"abstain"	"abstain"	"abstain"	"absent"	"no response"	"no response"	"abstain"	"abstain"	"abstain"	"abstain"	"abstain"	"no response"	"no response"	"abstain"	"abstain"	"absent"	"absent"	"no response"	"no response"	"absent"	"no response"	"no response"	"absent"	"no response"	"no response"	"absent"	"absent"	"no response"	"abstain"	"abstain"	"no response"	"no response"	"no response"	"no response"	"no response"	"absent"	"abstain"	"no response"	"absent"	"absent"	"absent"	"no response"	"no response"	"absent"	"no response"	"no response"	"no response"	"no response"	"no response"	"abstain"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"abstain"	"absent"	"absent"	"absent"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"abstain"	"no response"	"no response"	"absent"	"absent"	"absent"	"absent"	"abstain"	"absent"	"absent"	"absent"	"absent"	"no response"	"no response"	"absent"	"abstain"	"absent"	"absent"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"abstain"	"abstain"	"abstain"	"no response"	"no response"	"absent"	"abstain"	"abstain"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"abstain"	"abstain"	"no response"	"no response"	"no response"	"no response"	"no response"	"abstain"	"no response"	"no response"	"abstain"	"no response"	"absent"	"absent"	"no response"	"no response"	"no response"	"no response"	"no response"	"absent"	"absent"	"abstain"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"absent"	"absent"	"absent"	"abstain"	"absent"	"no response"	"no response"	"no response"	"abstain"	"abstain"	"abstain"	"abstain"	"no response"	"no response"	"no response"	"no response"	"no response"	"absent"	"absent"	"no response"	"no response"	"no response"	"abstain"	"abstain"	"no response"	"no response"	"abstain"	"no response"	"no response"	"no response"	"no response"	"no response"	"abstain"	"abstain"	"abstain"	"no response"	"absent"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"absent"	"abstain"	"absent"	"absent"	"absent"	"no response"	"no response"	"no response"	"no response"	"absent"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"absent"	"no response"	"no response"	"no response"	"absent"	"absent"	"absent"	"no response"	"no response"	"absent"	"absent"	"absent"	"absent"	"abstain"	"no response"	"no response"	"no response"	"no response"	"absent"	"no response"	"no response"	"no response"	"abstain"	"abstain"	"abstain"	"absent"	"absent"	"no response"	"no response"	"no response"	"no response"	"no response"	"no response"	"absent"	"absent"	"absent"	"abstain"	"absent"	"absent"	"no response"	"no response"	"no response"	"abstain"	"no response"	"no response"	"no response"	"no response"	"abstain"	"no response"							
"Vote Typ"	""	""	""			"absent"	"absent"	"absent"	"missing"	"missing"	"missing"	"missing"	"missing"	"missing"	"missing"	"missing"	"absent"	"missing"	"missing"	"missing"	"missing"	"missing"	"missing"	"absent"	"missing"	"missing"	"missing"	"missing"	"missing"	"missing"	"missing"	"missing"	"absent"	"missing"	"missing"	"missing"	"absent"	"missing"	"missing"	"missing"	"missing"	"missing"	"missing"	"absent"	"absent"	"missing"	"absent"	"absent"	"absent"	"missing"	"missing"	"absent"	"missing"	"missing"	"missing"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"missing"	"absent"	"absent"	"absent"	"absent"	"absent"	"missing"	"missing"	"missing"	"absent"	"absent"	"missing"	"missing"	"absent"	"absent"	"absent"	"missing"	"missing"	"missing"	"missing"	"absent"	"absent"	"absent"	"absent"	"absent"	"missing"	"missing"	"missing"	"missing"	"absent"	"absent"	"missing"	"missing"	"missing"	"missing"	"missing"	"absent"	"absent"	"missing"	"missing"	"missing"	"missing"	"absent"	"absent"	"missing"	"absent"	"absent"	"missing"	"absent"	"absent"	"missing"	"missing"	"absent"	"absent"	"missing"	"absent"	"absent"	"absent"	"absent"	"absent"	"missing"	"missing"	"absent"	"missing"	"missing"	"absent"	"absent"	"missing"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"missing"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"missing"	"missing"	"missing"	"missing"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"missing"	"absent"	"absent"	"missing"	"missing"	"missing"	"missing"	"missing"	"missing"	"missing"	"missing"	"missing"	"absent"	"absent"	"missing"	"missing"	"missing"	"missing"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"missing"	"missing"	"missing"	"absent"	"absent"	"missing"	"missing"	"missing"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"missing"	"missing"	"absent"	"absent"	"absent"	"absent"	"absent"	"missing"	"absent"	"absent"	"missing"	"absent"	"missing"	"missing"	"absent"	"absent"	"absent"	"absent"	"absent"	"missing"	"missing"	"missing"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"missing"	"missing"	"missing"	"missing"	"missing"	"absent"	"absent"	"absent"	"missing"	"missing"	"missing"	"missing"	"absent"	"absent"	"absent"	"absent"	"absent"	"missing"	"missing"	"absent"	"absent"	"absent"	"missing"	"missing"	"absent"	"absent"	"missing"	"absent"	"absent"	"absent"	"absent"	"absent"	"missing"	"missing"	"missing"	"absent"	"missing"	"absent"	"absent"		"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"missing"	"missing"	"missing"	"missing"	"missing"	"absent"	"absent"		"absent"	"missing"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"missing"	"absent"	"absent"	"absent"	"missing"	"missing"	"missing"	"absent"	"absent"	"missing"	"missing"	"missing"	"missing"	"missing"	"absent"	"absent"	"absent"	"absent"	"missing"	"absent"	"absent"	"absent"	"missing"	"missing"	"missing"	"missing"	"missing"	"absent"	"absent"	"absent"	"absent"	"absent"	"absent"	"missing"	"missing"	"missing"	"missing"	"missing"	"missing"	"absent"	"absent"	"absent"	"missing"	"absent"	"absent"	"absent"	"absent"	"missing"	"absent"							
